FID,PAR20CD,PAR20NM,WD20CD,WD20NM,LAD20CD,LAD20NM
11406,E04008897,Rocester,E05006923,Churnet,E07000193,East Staffordshire
11407,E04008884,Draycott in the Clay,E05006924,Crown,E07000193,East Staffordshire
11408,E04008887,Hanbury,E05006924,Crown,E07000193,East Staffordshire
11409,E04008891,Marchington,E05006924,Crown,E07000193,East Staffordshire
11410,E04008900,Stretton,E05006925,Eton Park,E07000193,East Staffordshire
11411,E04008911,Horninglow and Eton,E05006925,Eton Park,E07000193,East Staffordshire
11412,E04008903,Uttoxeter,E05006926,Heath,E07000193,East Staffordshire
11413,E04008911,Horninglow and Eton,E05006927,Horninglow,E07000193,East Staffordshire
11414,E04008879,Barton-under-Needwood,E05006928,Needwood,E07000193,East Staffordshire
11415,E04008885,Dunstall,E05006928,Needwood,E07000193,East Staffordshire
11416,E04008901,Tatenhill,E05006928,Needwood,E07000193,East Staffordshire
11417,E04008906,Wychnor,E05006928,Needwood,E07000193,East Staffordshire
11418,E04008898,Rolleston on Dove,E05006929,Rolleston on Dove,E07000193,East Staffordshire
11419,E04008912,Shobnall,E05006930,Shobnall,E07000193,East Staffordshire
11420,E04008913,Stapenhill,E05006931,Stapenhill,E07000193,East Staffordshire
11421,E04008900,Stretton,E05006932,Stretton,E07000193,East Staffordshire
11422,E04008903,Uttoxeter,E05006933,Town,E07000193,East Staffordshire
11423,E04008878,Anslow,E05006934,Tutbury and Outwoods,E07000193,East Staffordshire
11424,E04008895,Outwoods,E05006934,Tutbury and Outwoods,E07000193,East Staffordshire
11425,E04008902,Tutbury,E05006934,Tutbury and Outwoods,E07000193,East Staffordshire
11426,E04008886,Ellastone,E05006935,Weaver,E07000193,East Staffordshire
11427,E04008892,Mayfield,E05006935,Weaver,E07000193,East Staffordshire
11428,E04008894,Okeover,E05006935,Weaver,E07000193,East Staffordshire
11429,E04008896,Ramshorn,E05006935,Weaver,E07000193,East Staffordshire
11430,E04008899,Stanton,E05006935,Weaver,E07000193,East Staffordshire
11431,E04008905,Wootton,E05006935,Weaver,E07000193,East Staffordshire
11432,E04008914,Winshill,E05006936,Winshill,E07000193,East Staffordshire
11433,E04008888,Hoar Cross,E05006937,Yoxall,E07000193,East Staffordshire
11434,E04008893,Newborough,E05006937,Yoxall,E07000193,East Staffordshire
11435,E04008907,Yoxall,E05006937,Yoxall,E07000193,East Staffordshire
11436,E04010539,Alrewas,E05010651,Alrewas & Fradley,E07000194,Lichfield
11437,E04010540,Fradley and Streethay,E05010651,Alrewas & Fradley,E07000194,Lichfield
11438,E04008916,Armitage with Handsacre,E05010652,Armitage with Handsacre,E07000194,Lichfield
11439,E04008931,King's Bromley,E05010652,Armitage with Handsacre,E07000194,Lichfield
11440,E04008932,Lichfield,E05010653,Boley Park,E07000194,Lichfield
11441,E04008917,Burntwood,E05010654,Boney Hay & Central,E07000194,Lichfield
11442,E04008921,Drayton Bassett,E05010655,Bourne Vale,E07000194,Lichfield
11443,E04008930,Hints,E05010655,Bourne Vale,E07000194,Lichfield
11444,E04008935,Shenstone,E05010655,Bourne Vale,E07000194,Lichfield
11445,E04008937,Swinfen and Packington,E05010655,Bourne Vale,E07000194,Lichfield
11446,E04008940,Weeford,E05010655,Bourne Vale,E07000194,Lichfield
11447,E04008932,Lichfield,E05010656,Chadsmead,E07000194,Lichfield
11448,E04008917,Burntwood,E05010657,Chase Terrace,E07000194,Lichfield
11449,E04008917,Burntwood,E05010658,Chasetown,E07000194,Lichfield
11450,E04008919,Colton,E05010659,Colton & the Ridwares,E07000194,Lichfield
11451,E04008928,Hamstall Ridware,E05010659,Colton & the Ridwares,E07000194,Lichfield
11452,E04008934,Mavesyn Ridware,E05010659,Colton & the Ridwares,E07000194,Lichfield
11453,E04008932,Lichfield,E05010660,Curborough,E07000194,Lichfield
11454,E04008925,Fazeley,E05010661,Fazeley,E07000194,Lichfield
11455,E04008927,Hammerwich,E05010662,Hammerwich with Wall,E07000194,Lichfield
11456,E04008939,Wall,E05010662,Hammerwich with Wall,E07000194,Lichfield
11457,E04008917,Burntwood,E05010663,Highfield,E07000194,Lichfield
11458,E04008932,Lichfield,E05010664,Leomansley,E07000194,Lichfield
